Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;ALVARO FERNANDES DIAS;ALVARO DIAS;Presidente;19;PODE;Aguardando julgamento;MUDANÇA DE VERDADE
Concorrendo;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;Presidente;51;PATRI;Aguardando julgamento;PATRI
Concorrendo;CIRO FERREIRA GOMES;CIRO GOMES;Presidente;12;PDT;Aguardando julgamento;BRASIL SOBERANO
Concorrendo;JOSE MARIA EYMAEL;EYMAEL;Presidente;27;DC;Aguardando julgamento;DC
Concorrendo;GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;GERALDO ALCKMIN;Presidente;45;PSDB;Aguardando julgamento;PARA UNIR O BRASIL
Concorrendo;GUILHERME CASTRO BOULOS;GUILHERME BOULOS;Presidente;50;PSOL;Aguardando julgamento;VAMOS SEM MEDO DE MUDAR O BRASIL
Concorrendo;HENRIQUE DE CAMPOS MEIRELLES;HENRIQUE MEIRELLES;Presidente;15;MDB;Aguardando julgamento;ESSA É A SOLUÇÃO
Concorrendo;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;Presidente;17;PSL;Aguardando julgamento;BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS
Concorrendo;JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO;JOÃO AMOÊDO;Presidente;30;NOVO;Aguardando julgamento;NOVO
Concorrendo;JOÃO VICENTE FONTELLA GOULART;JOÃO GOULART FILHO;Presidente;54;PPL;Aguardando julgamento;PPL
Concorrendo;LUIZ INÁCIO LULA DA SILVA;LULA;Presidente;13;PT;Aguardando julgamento;O Povo Feliz de Novo
Concorrendo;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;Presidente;18;REDE;Aguardando julgamento;UNIDOS PARA TRANSFORMAR O BRASIL
Concorrendo;VERA LUCIA PEREIRA DA SILVA SALGADO;VERA;Presidente;16;PSTU;Aguardando julgamento;PSTU
